NAME,MASS,MASS_SINI,SEMI_MAJOR_AXIS,ORBITAL_PERIOD,ECCENTRICITY,OMEGA,TIME_PERIAPSE,PLANETARY_RADIUS,INCLINATION,DETECTION_TYPE,STAR_MASS,STAR_AGE,STAR_TEMP,STAR_RADIUS,STAR_METALLICITY
Kepler-1554 b,,,,198.088774,,,,0.259,,Primary Transit,0.84,,5297.0,0.81,0.1
Kepler-1555 b,,,,8.10501635,,,,0.14400000000000002,,Primary Transit,1.04,,5866.0,1.06,0.03
Kepler-1556 b,,,,8.82713457,,,,0.175,,Primary Transit,0.97,,5608.0,0.95,0.08
Kepler-1557 b,,,,3.74032496,,,,0.136,,Primary Transit,1.11,,6099.0,1.17,0.02
Kepler-1558 b,,,,3.50470358,,,,0.061,,Primary Transit,0.83,,5101.0,0.79,0.0
Kepler-1559 b,,,,0.97191543,,,,0.064,,Primary Transit,0.86,,5316.0,0.82,0.04
Kepler-156 b,,,0.054000000000000006,4.973456,,,,0.205,,Primary Transit,,,5094.0,0.81,0.013999999999999999
Kepler-156 c,,,0.11699999999999999,15.906801000000002,,,,0.22699999999999998,,Primary Transit,,,5094.0,0.81,0.013999999999999999
Kepler-1560 b,,,,3.03195744,,,,0.079,,Primary Transit,1.02,,5815.0,1.02,0.04
Kepler-1561 b,,,,1.00520701,,,,0.09699999999999999,,Primary Transit,1.07,,5957.0,1.11,0.04
Kepler-1562 b,,,,64.2737752,,,,0.317,,Primary Transit,1.02,,5760.0,1.05,0.11
Kepler-1563 b,,,,3.43276598,,,,0.067,,Primary Transit,1.0,,5765.0,0.99,0.02
Kepler-1564 b,,,,18.054038100000003,,,,0.131,,Primary Transit,0.93,,5528.0,0.9,0.03
Kepler-1565 b,,,,1.53818844,,,,0.106,,Primary Transit,0.76,,4940.0,0.73,0.16
Kepler-1566 b,,,,0.53991524,,,,0.07,,Primary Transit,0.84,,5254.0,0.81,0.07
Kepler-1567 b,,,,153.979578,,,,0.244,,Primary Transit,0.95,,5655.0,0.93,0.03
Kepler-1568 b,,,,20.925392000000002,,,,0.11599999999999999,,Primary Transit,1.09,,5956.0,1.19,0.09
Kepler-1569 b,,,,5.79180156,,,,0.15,,Primary Transit,1.25,,6319.0,1.4,0.06
Kepler-157 b,,,0.027999999999999997,1.7323419999999998,,,,0.11800000000000001,,Primary Transit,,,5774.0,1.04,0.10800000000000001
Kepler-157 c,,,0.11,13.5405,,,,0.2,,Primary Transit,,,5774.0,1.04,0.10800000000000001
Kepler-157 d,,,,7.02573474,,,,0.13,,Primary Transit,,,5774.0,1.04,0.10800000000000001
Kepler-1570 b,,,,26.548955,,,,0.095,,Primary Transit,0.92,,5550.0,0.89,0.04
Kepler-1571 b,,,,3.38555488,,,,0.136,,Primary Transit,1.23,,6297.0,1.39,0.04
Kepler-1572 b,,,,5.49548621,,,,0.084,,Primary Transit,0.97,,5618.0,0.95,0.08
Kepler-1573 b,,,,2.6157554,,,,0.107,,Primary Transit,1.01,,5808.0,1.0,0.02
Kepler-1574 b,,,,6.9424334000000005,,,,0.115,,Primary Transit,1.06,,5892.0,1.08,0.08
Kepler-1575 b,,,,2.55314213,,,,0.11699999999999999,,Primary Transit,0.95,,5667.0,0.92,0.07
Kepler-1576 b,,,,6.98471973,,,,0.09300000000000001,,Primary Transit,1.05,,5876.0,1.06,0.05
Kepler-1577 b,,,,6.30560247,,,,0.10099999999999999,,Primary Transit,0.78,,4862.0,0.74,0.0
Kepler-1578 b,,,,1.45088691,,,,0.09300000000000001,,Primary Transit,0.9,,5545.0,0.86,0.13
Kepler-1579 b,,,,0.84990789,,,,0.075,,Primary Transit,0.75,,4584.0,0.7,0.11
Kepler-158 b,,,0.111,16.709184,,,,0.18899999999999997,,Primary Transit,,,4623.0,0.62,0.23199999999999998
Kepler-158 c,,,0.158,28.551383,,,,0.17,,Primary Transit,,,4623.0,0.62,0.23199999999999998
Kepler-1580 b,,,,56.6449279,,,,0.188,,Primary Transit,1.47,,6228.0,2.15,0.12
Kepler-1581 b,,,,6.28385491,,,,0.071,,Primary Transit,1.12,,6022.0,1.23,0.07
Kepler-1582 b,,,,4.83817712,,,,0.133,,Primary Transit,0.28,,3208.0,0.3,0.48
Kepler-1583 b,,,,9.32807355,,,,0.054000000000000006,,Primary Transit,0.94,,5645.0,0.91,0.07
Kepler-1584 b,,,,13.399709900000001,,,,0.14400000000000002,,Primary Transit,1.1,,6069.0,1.13,0.0
Kepler-1585 b,,,,3.5827462999999997,,,,0.16,,Primary Transit,0.94,,5538.0,0.91,0.08
Kepler-1586 b,,,,15.6049212,,,,0.136,,Primary Transit,1.45,,6681.0,1.75,0.06
Kepler-1587 b,,,,9.4060467,,,,0.11900000000000001,,Primary Transit,1.08,,5933.0,1.22,0.07
Kepler-1588 b,,,,7.84931739,,,,0.068,,Primary Transit,0.96,,5817.0,0.99,0.14
Kepler-1589 b,,,,0.99166527,,,,0.09699999999999999,,Primary Transit,1.18,,6166.0,1.25,0.08
Kepler-159 b,,,0.08199999999999999,10.139623,,,,0.212,,Primary Transit,,,4625.0,0.66,0.9109999999999999
Kepler-159 c,,,0.218,43.595791999999996,,,,0.304,,Primary Transit,,,4625.0,0.66,0.9109999999999999
Kepler-1590 b,,,,7.61760804,,,,0.102,,Primary Transit,1.11,,6053.0,1.16,0.03
Kepler-1591 b,,,,8.18504949,,,,0.113,,Primary Transit,1.1,,6082.0,1.16,0.01
Kepler-1592 b,,,,3.05710069,,,,0.13699999999999998,,Primary Transit,1.18,,6213.0,1.28,0.04
Kepler-1593 b,,,,174.509835,,,,0.28300000000000003,,Primary Transit,0.81,,4995.0,0.77,0.02
Kepler-1594 b,,,,2.71603809,,,,0.095,,Primary Transit,1.06,,5946.0,1.08,0.03
Kepler-1595 b,,,,4.56380468,,,,0.11,,Primary Transit,0.84,,5203.0,0.8,0.02
Kepler-1596 b,,,,66.373379,,,,0.17,,Primary Transit,0.95,,5706.0,0.92,0.11
Kepler-1597 b,,,,2.94654179,,,,0.095,,Primary Transit,1.25,,6377.0,1.39,0.02
Kepler-1598 b,,,,4.34195123,,,,0.085,,Primary Transit,1.07,,5940.0,1.09,0.04
Kepler-1599 b,,,,122.363553,,,,0.145,,Primary Transit,0.99,,5767.0,0.99,0.02
Kepler-16 (AB) b,0.33299999999999996,,0.7048,228.77599999999998,0.00685,318.0,,0.7538,90.0322,Primary Transit,0.8499,,4450.0,0.65,0.3
Kepler-160 b,,,0.05,4.3094269999999995,,,,0.13699999999999998,,Primary Transit,,,5857.0,0.88,0.361
Kepler-160 c,,,0.109,13.699086999999999,,,,0.322,,Primary Transit,,,5857.0,0.88,0.361
Kepler-1600 b,,,,386.370548,,,,0.27899999999999997,,Primary Transit,0.86,,5214.0,0.82,0.07
Kepler-1601 b,,,,2.20921951,,,,0.073,,Primary Transit,1.04,,5869.0,1.07,0.05
Kepler-1602 b,,,,11.17931605,,,,0.12,,Primary Transit,1.22,,6296.0,1.36,0.02
Kepler-1603 b,,,,2.27163926,,,,0.115,,Primary Transit,1.21,,6241.0,1.31,0.07
Kepler-1604 b,,,,0.68368426,,,,0.126,,Primary Transit,0.81,,4976.0,0.76,0.02
Kepler-1605 b,,,,85.7565495,,,,0.096,,Primary Transit,0.86,,5280.0,0.82,0.01
Kepler-1606 b,,,,196.435224,,,,0.185,,Primary Transit,0.9,,5422.0,0.86,0.01
Kepler-1607 b,,,,13.6473676,,,,0.08199999999999999,,Primary Transit,1.14,,6116.0,1.21,0.05
Kepler-1608 b,,,,16.4735686,,,,0.154,,Primary Transit,0.75,,4992.0,0.72,0.24
Kepler-1609 b,,,,114.34218999999999,,,,0.198,,Primary Transit,1.18,,6132.0,1.27,0.1
Kepler-161 b,,,0.054000000000000006,4.921355,,,,0.18899999999999997,,Primary Transit,0.77,,5078.0,0.81,0.09300000000000001
Kepler-161 c,,,0.068,7.06424,,,,0.183,,Primary Transit,0.77,,5078.0,0.81,0.09300000000000001
Kepler-1610 b,,,,8.70181574,,,,0.14400000000000002,,Primary Transit,0.91,,5383.0,0.87,0.1
Kepler-1611 b,,,,5.1762429,,,,0.07200000000000001,,Primary Transit,0.94,,5605.0,0.93,0.01
Kepler-1612 b,,,,3.91795101,,,,0.092,,Primary Transit,0.96,,5643.0,0.94,0.03
Kepler-1613 b,,,,1.5184298999999999,,,,0.18600000000000003,,Primary Transit,1.08,,6005.0,1.12,0.01
Kepler-1614 b,,,,3.9466141,,,,0.133,,Primary Transit,0.79,,5121.0,0.76,0.17
Kepler-1615 b,,,,47.31261920000001,,,,0.184,,Primary Transit,1.04,,5865.0,1.05,0.06
Kepler-1616 b,,,,6.76284377,,,,0.091,,Primary Transit,1.21,,6266.0,1.34,0.02
Kepler-1617 b,,,,27.478557199999997,,,,0.107,,Primary Transit,1.15,,6167.0,1.22,0.01
Kepler-1618 b,,,,6.10826019,,,,0.11199999999999999,,Primary Transit,1.41,,6620.0,1.65,0.04
Kepler-1619 b,,,,23.6225913,,,,0.068,,Primary Transit,1.0,,5852.0,1.0,0.07
Kepler-162 b,,,0.069,6.919797999999999,,,,0.11199999999999999,,Primary Transit,,,5816.0,0.96,0.301
Kepler-162 c,,,0.13699999999999998,19.446355,,,,0.27,,Primary Transit,,,5816.0,0.96,0.301
Kepler-1620 b,,,,101.951829,,,,0.14400000000000002,,Primary Transit,1.15,,6157.0,1.23,0.03
Kepler-1621 b,,,,92.26371400000001,,,,0.193,,Primary Transit,1.15,,6158.0,1.24,0.03
Kepler-1622 b,,,,10.8118737,,,,0.131,,Primary Transit,1.31,,6436.0,1.5,0.04
Kepler-1623 b,,,,4.36128348,,,,0.11699999999999999,,Primary Transit,1.0,,5772.0,1.0,0.04
Kepler-1624 b,,,,3.29030452,,,,0.509,,Primary Transit,0.5,,3636.0,0.47,0.06
Kepler-1625 b,3.0,,,287.37894900000003,,,,0.6,,Primary Transit,0.96,,5677.0,1.7930000000000001,0.01
Kepler-1626 b,,,,4.13962966,,,,0.18,,Primary Transit,1.51,,6826.0,1.85,0.04
Kepler-1627 b,,,,7.20283653,,,,0.32899999999999996,,Primary Transit,0.87,,5445.0,0.84,0.1
Kepler-1628 b,,,,76.378033,,,,0.574,,Primary Transit,0.55,,3724.0,0.52,0.17
Kepler-1629 b,,,,3.87595807,,,,0.069,,Primary Transit,1.01,,5776.0,1.01,0.05
Kepler-163 b,,,0.078,7.810936999999999,,,,0.094,,Primary Transit,0.96,,5776.0,0.92,0.016
Kepler-163 c,,,0.152,21.347262,,,,0.20199999999999999,,Primary Transit,0.96,,5776.0,0.92,0.016
Kepler-1630 b,,,,509.99740199999997,,,,0.195,,Primary Transit,0.66,,4736.0,0.63,0.46
Kepler-1631 b,,,,4.09513932,,,,0.12,,Primary Transit,0.97,,5679.0,0.95,0.04
Kepler-1632 b,,,,448.303558,,,,0.22,,Primary Transit,1.12,,6137.0,1.19,0.0
Kepler-1633 b,,,,186.404271,,,,0.141,,Primary Transit,1.2,,6256.0,1.32,0.02
Kepler-1634 b,,,,374.876239,,,,0.285,,Primary Transit,0.92,,5474.0,0.89,0.02
Kepler-1635 b,,,,469.63111,,,,0.325,,Primary Transit,0.89,,5347.0,0.85,0.06
Kepler-1636 b,,,,425.47785,,,,0.28800000000000003,,Primary Transit,1.01,,5797.0,1.02,0.03
Kepler-1637 b,,,,6.10960324,,,,0.079,,Primary Transit,1.02,,5789.0,1.02,0.07
Kepler-1638 b,,,,259.33682999999996,,,,0.16699999999999998,,Primary Transit,0.97,,5710.0,0.95,0.01
Kepler-1639 b,,,,9.878482,,,,0.23,,Primary Transit,1.12,,6150.0,1.18,0.03
Kepler-164 b,,,0.057999999999999996,5.03503,,,,0.126,,Primary Transit,1.11,,5888.0,1.15,0.125
Kepler-164 c,,,0.09699999999999999,10.945723,,,,0.244,,Primary Transit,1.11,,5888.0,1.15,0.125
Kepler-164 d,,,0.187,28.986769,,,,0.21899999999999997,,Primary Transit,1.11,,5888.0,1.15,0.125
Kepler-1640 b,,,,7.5844125999999985,,,,0.43,,Primary Transit,1.27,,6324.0,1.43,0.1
Kepler-1641 b,,,,19.672266,,,,0.27699999999999997,,Primary Transit,1.12,,6152.0,1.19,0.02
Kepler-1641 c,,,,32.657212,,,,0.263,,Primary Transit,1.12,,6152.0,1.19,0.02
Kepler-1642 b,,,,12.205751300000001,,,,0.285,,Primary Transit,0.88,,5355.0,0.84,0.01
Kepler-1642 c,,,,6.651380199999999,,,,0.237,,Primary Transit,0.88,,5355.0,0.84,0.01
Kepler-1643 b,,,,5.34264507,,,,0.205,,Primary Transit,0.92,,5508.0,0.88,0.01
Kepler-1644 b,,,,21.0907758,,,,0.168,,Primary Transit,0.89,,5499.0,0.86,0.1
Kepler-1645 b,,,,16.1779561,,,,0.159,,Primary Transit,1.02,,5812.0,1.02,0.04
Kepler-1646 b,,,,4.48558383,,,,0.11,,Primary Transit,0.24,,3299.0,0.26,0.04
Kepler-1647 (AB) b,1.52,,2.7205,1107.5923,0.0581,155.0464,,1.06,90.0972,Primary Transit,2.1885,,6210.0,1.79,
Kepler-1649 b,,,0.0514,8.68909,,,,0.0964,89.57,Primary Transit,0.21899999999999997,,3240.0,0.252,0.15
Kepler-165 b,,,0.07200000000000001,8.180848,,,,0.207,,Primary Transit,,,5211.0,0.77,0.28
Kepler-165 c,,,0.11,15.31299,,,,0.19899999999999998,,Primary Transit,,,5211.0,0.77,0.28
Kepler-1650 b,,,0.0163,1.5381815280000002,,,,0.067,89.38,Primary Transit,0.326,,3410.0,0.344,0.11
Kepler-1651 A b,,,0.0619,9.87863917,0.13,,,0.16399999999999998,85.94,Primary Transit,0.522,,3713.0,0.503,0.16
Kepler-1652 b,,,0.1654,38.09722,,,,0.14300000000000002,89.9927,Primary Transit,0.40399999999999997,3.2,3638.0,0.382,0.3
Kepler-1655 b,0.0157,,0.10300000000000001,11.8728787,0.0,289.0,,0.19743,87.62,Primary Transit,1.03,2.56,6148.0,1.03,0.24
Kepler-1656 b,0.1529,,0.19699999999999998,31.578659000000002,0.836,53.9,,0.4479,89.31,Primary Transit,1.03,6.31,5731.0,1.1,0.19
Kepler-1658 b,5.88,,0.0546,3.8494,0.0585,352.0,,1.04,76.55,Primary Transit,1.4469999999999998,,6216.0,2.891,0.18
Kepler-166 b,,,0.07200000000000001,7.650253999999999,,,,0.203,,Primary Transit,,,5413.0,0.74,0.28600000000000003
Kepler-166 c,,,0.195,34.260281,,,,0.212,,Primary Transit,,,5413.0,0.74,0.28600000000000003
Kepler-166 d,,,,1.55400393,,,,0.154,,Primary Transit,,,5413.0,0.74,0.28600000000000003
Kepler-167 b,,,0.048,4.393147,,,,0.129,,Primary Transit,0.76,,4796.0,0.7,0.052000000000000005
Kepler-167 c,,,0.068,7.406097,,,,0.122,,Primary Transit,0.76,,4796.0,0.7,0.052000000000000005
Kepler-167 d,0.006,,0.1405,21.803855,0.0,,,0.1065,89.352,Primary Transit,0.76,,4796.0,0.7,0.052000000000000005
Kepler-167 e,4.0,,1.89,1071.23308,0.062,200.0,,0.91,89.98,Primary Transit,0.76,,4796.0,0.7,0.052000000000000005
Kepler-168 b,,,0.055999999999999994,4.425391,,,,0.13,,Primary Transit,,,6282.0,1.11,0.012
Kepler-168 c,,,0.11599999999999999,13.193242000000001,,,,0.24,,Primary Transit,,,6282.0,1.11,0.012
Kepler-169 b,,,0.04,3.250619,,,,0.10099999999999999,,Primary Transit,0.86,,4997.0,0.76,0.23800000000000002
Kepler-169 c,,,0.062,6.195469,,,,0.10800000000000001,,Primary Transit,0.86,,4997.0,0.76,0.23800000000000002
Kepler-169 d,,,0.075,8.348125,,,,0.11199999999999999,,Primary Transit,0.86,,4997.0,0.76,0.23800000000000002
Kepler-169 e,,,0.105,13.767102,,,,0.196,,Primary Transit,0.86,,4997.0,0.76,0.23800000000000002
Kepler-169 f,,,0.359,87.090195,,,,0.23,,Primary Transit,0.86,,4997.0,0.76,0.23800000000000002
Kepler-17 b,2.45,,0.025910000000000002,1.4857108,0.011000000000000001,,,1.3119999999999998,87.2,Primary Transit,1.16,1.78,5781.0,1.05,0.26
Kepler-170 b,,,0.08,7.930592,,,,0.285,,Primary Transit,,,5679.0,1.03,0.23399999999999999
Kepler-170 c,,,0.131,16.665863,,,,0.255,,Primary Transit,,,5679.0,1.03,0.23399999999999999
Kepler-171 b,,,0.05,4.166972,,,,0.209,,Primary Transit,,,5642.0,0.84,0.151
Kepler-171 c,,,0.098,11.463462,,,,0.228,,Primary Transit,,,5642.0,0.84,0.151
Kepler-171 d,,,0.223,39.595519,,,,0.16899999999999998,,Primary Transit,,,5642.0,0.84,0.151
Kepler-172 b,,,0.04,2.940309,,,,0.21,,Primary Transit,0.86,,5526.0,1.08,0.012
Kepler-172 c,,,0.068,6.388996,,,,0.255,,Primary Transit,0.86,,5526.0,1.08,0.012
Kepler-172 d,,,0.11800000000000001,14.627119,,,,0.201,,Primary Transit,0.86,,5526.0,1.08,0.012
Kepler-172 e,,,0.21100000000000002,35.118736,,,,0.24600000000000002,,Primary Transit,0.86,,5526.0,1.08,0.012
Kepler-173 b,,,0.048,4.263742,,,,0.115,,Primary Transit,0.78,,6031.0,0.95,0.7859999999999999
Kepler-173 c,,,0.07400000000000001,8.005777,,,,0.217,,Primary Transit,0.78,,6031.0,0.95,0.7859999999999999
Kepler-174 b,,,0.1,13.98179,,,,0.175,,Primary Transit,,,4880.0,0.62,0.556
Kepler-174 c,,,0.214,44.000529,,,,0.133,,Primary Transit,,,4880.0,0.62,0.556
Kepler-174 d,,,0.677,247.35372999999998,,,,0.195,,Primary Transit,,,4880.0,0.62,0.556
Kepler-175 b,,,0.105,11.903514999999999,,,,0.228,,Primary Transit,1.04,,6064.0,1.01,0.023
Kepler-175 c,,,0.213,34.035257,,,,0.27699999999999997,,Primary Transit,1.04,,6064.0,1.01,0.023
Kepler-176 b,,,0.057999999999999996,5.4330739999999995,,,,0.128,,Primary Transit,,,5232.0,0.89,0.07200000000000001
Kepler-176 c,,,0.102,12.759712,,,,0.23199999999999998,,Primary Transit,,,5232.0,0.89,0.07200000000000001
Kepler-176 d,,,0.163,25.751974,,,,0.22399999999999998,,Primary Transit,,,5232.0,0.89,0.07200000000000001
Kepler-176 e,,,,51.16579,,,,0.129,,Primary Transit,,,5232.0,0.89,0.07200000000000001
Kepler-177 b,0.00535,,,35.855,,,,0.259,,Primary Transit,0.93,,5942.0,0.98,0.091
Kepler-177 c,0.0198,,,49.412,,,,0.635,,Primary Transit,0.93,,5942.0,0.98,0.091
Kepler-178 b,,,0.085,9.576694,,,,0.259,,Primary Transit,,,5676.0,1.07,0.188
Kepler-178 c,,,0.142,20.552802,,,,0.257,,Primary Transit,,,5676.0,1.07,0.188
Kepler-178 d,,,0.397,96.678988,,,,0.35200000000000004,,Primary Transit,,,5676.0,1.07,0.188
Kepler-179 b,,,0.036000000000000004,2.7359259999999996,,,,0.146,,Primary Transit,,,5302.0,0.76,0.01
Kepler-179 c,,,0.064,6.40013,,,,0.17800000000000002,,Primary Transit,,,5302.0,0.76,0.01
Kepler-18 b,0.021615329,,0.0447,3.504725,,,,0.178428367,84.92,Primary Transit,0.972,10.0,5383.0,1.1079999999999999,0.2
Kepler-18 c,0.054116980999999995,,0.0752,7.641589999999999,,,,0.48889372600000003,87.68,Primary Transit,0.972,10.0,5383.0,1.1079999999999999,0.2
Kepler-18 d,0.051285278,,0.1172,14.85888,,,,0.62182286,88.07,Primary Transit,0.972,10.0,5383.0,1.1079999999999999,0.2
Kepler-180 b,,,0.109,13.817124,,,,0.134,,Primary Transit,0.84,,5731.0,1.06,0.19399999999999998
Kepler-180 c,,,0.22899999999999998,41.885775,,,,0.26899999999999996,,Primary Transit,0.84,,5731.0,1.06,0.19399999999999998
Kepler-181 b,,,0.04,3.137873,,,,0.113,,Primary Transit,,,5333.0,0.75,0.162
Kepler-181 c,,,0.049,4.302149,,,,0.17800000000000002,,Primary Transit,,,5333.0,0.75,0.162
Kepler-182 b,,,0.096,9.825792,,,,0.23,,Primary Transit,1.14,,6250.0,1.15,0.077
Kepler-182 c,,,0.157,20.684342,,,,0.306,,Primary Transit,1.14,,6250.0,1.15,0.077
Kepler-183 b,,,0.064,5.687945,,,,0.184,,Primary Transit,,,5888.0,0.96,0.026000000000000002
Kepler-183 c,,,0.10300000000000001,11.637071,,,,0.203,,Primary Transit,,,5888.0,0.96,0.026000000000000002
Kepler-184 b,,,0.092,10.687576,,,,0.21100000000000002,,Primary Transit,,,5788.0,0.87,0.33799999999999997
Kepler-184 c,,,0.141,20.303005,,,,0.17600000000000002,,Primary Transit,,,5788.0,0.87,0.33799999999999997
Kepler-184 d,,,0.179,29.022358,,,,0.222,,Primary Transit,,,5788.0,0.87,0.33799999999999997
Kepler-185 b,,,0.026000000000000002,1.6329,,,,0.10400000000000001,,Primary Transit,0.79,,5208.0,0.81,0.051
Kepler-185 c,,,0.139,20.729042,,,,0.18,,Primary Transit,0.79,,5208.0,0.81,0.051
Kepler-186 b,,,0.04,3.886803,,,,0.102,,Primary Transit,0.478,,3788.0,0.47200000000000003,0.28
Kepler-186 c,,,0.061,7.267277,,,,0.12,,Primary Transit,0.478,,3788.0,0.47200000000000003,0.28
Kepler-186 d,,,0.091,13.343058,,,,0.139,,Primary Transit,0.478,,3788.0,0.47200000000000003,0.28
Kepler-186 e,,,0.129,22.407792999999998,,,,0.11900000000000001,,Primary Transit,0.478,,3788.0,0.47200000000000003,0.28
Kepler-186 f,,,0.35600000000000004,129.9459,,,,0.099027744,,Primary Transit,0.478,,3788.0,0.47200000000000003,0.28
Kepler-187 b,,,0.059000000000000004,4.938864,,,,0.126,,Primary Transit,0.85,,6105.0,1.29,0.345
Kepler-187 c,,,0.099,10.640263000000001,,,,0.23800000000000002,,Primary Transit,0.85,,6105.0,1.29,0.345
Kepler-188 b,,,0.032,2.061897,,,,0.15,,Primary Transit,,,6021.0,1.14,0.1
Kepler-188 c,,,0.066,5.996553,,,,0.285,,Primary Transit,,,6021.0,1.14,0.1
Kepler-189 b,,,0.08800000000000001,10.399931,,,,0.10800000000000001,,Primary Transit,0.79,,5235.0,0.75,0.134
Kepler-189 c,,,0.13699999999999998,20.134866,,,,0.212,,Primary Transit,0.79,,5235.0,0.75,0.134
Kepler-19 b,0.026000000000000002,,0.085,9.286994400000001,0.12,59.1,,0.198,89.94,Primary Transit,0.9359999999999999,1.9,5541.0,0.85,0.13
Kepler-19 c,0.0412,,,28.730999999999998,0.21,23.8,,,,Radial Velocity,0.9359999999999999,1.9,5541.0,0.85,0.13
Kepler-19 d,0.0708,0.0708,,62.95,0.05,55.2,,,,Radial Velocity,0.9359999999999999,1.9,5541.0,0.85,0.13
Kepler-190 b,,,0.03,2.0199990000000003,,,,0.139,,Primary Transit,0.84,,5106.0,0.8,0.009000000000000001
Kepler-190 c,,,0.045,3.7630239999999997,,,,0.13,,Primary Transit,0.84,,5106.0,0.8,0.009000000000000001
Kepler-191 b,,,0.087,9.939632000000001,,,,0.12,,Primary Transit,0.85,,5282.0,0.79,0.006
Kepler-191 c,,,0.128,17.738506,,,,0.166,,Primary Transit,0.85,,5282.0,0.79,0.006
Kepler-191 d,,,,5.94504102,,,,0.203,,Primary Transit,0.85,,5282.0,0.79,0.006
Kepler-192 b,,,0.09,9.926746000000001,,,,0.244,,Primary Transit,,,5479.0,1.01,0.153
Kepler-192 c,,,0.15,21.2234,,,,0.249,,Primary Transit,,,5479.0,1.01,0.153
Kepler-192 d,,,,6.47027579,,,,0.091,,Primary Transit,,,5479.0,1.01,0.153
Kepler-193 b,,,0.106,11.38848,,,,0.213,,Primary Transit,,,6335.0,1.15,0.011000000000000001
Kepler-193 c,,,0.28600000000000003,50.697494,,,,0.245,,Primary Transit,,,6335.0,1.15,0.011000000000000001
Kepler-194 b,,,0.032,2.0922810000000003,,,,0.135,,Primary Transit,,,6089.0,1.02,0.298
Kepler-194 c,,,0.131,17.308032,,,,0.231,,Primary Transit,,,6089.0,1.02,0.298
Kepler-194 d,,,0.275,52.814972999999995,,,,0.214,,Primary Transit,,,6089.0,1.02,0.298
Kepler-195 b,,,0.077,8.307872,,,,0.18100000000000002,,Primary Transit,,,5329.0,0.78,0.052000000000000005
Kepler-195 c,,,0.19699999999999998,34.096863,,,,0.138,,Primary Transit,,,5329.0,0.78,0.052000000000000005
Kepler-196 b,,,0.138,20.739886,,,,0.17,,Primary Transit,,,5128.0,0.78,0.071
Kepler-196 c,,,0.24,47.427737,,,,0.2,,Primary Transit,,,5128.0,0.78,0.071
Kepler-197 b,,,0.06,5.599293,0.02,,,0.09492,,Primary Transit,,,6004.0,1.12,0.5329999999999999
Kepler-197 c,0.017,,0.09,10.349711,0.08,,,0.1078,,Primary Transit,,,6004.0,1.12,0.5329999999999999
Kepler-197 d,,,0.11900000000000001,15.67787,0.03,,,0.111,,Primary Transit,,,6004.0,1.12,0.5329999999999999
Kepler-197 e,,,0.16399999999999998,25.2097,0.38,,,0.0877,,Primary Transit,,,6004.0,1.12,0.5329999999999999
Kepler-198 b,,,0.131,17.790036999999998,,,,0.252,,Primary Transit,0.93,,5574.0,0.94,0.14
Kepler-198 c,,,0.259,49.567415999999994,,,,0.22,,Primary Transit,0.93,,5574.0,0.94,0.14
Kepler-198 d,,,,1.31184443,,,,0.136,,Primary Transit,0.93,,5574.0,0.94,0.14
Kepler-199 b,,,0.158,23.637604,,,,0.27699999999999997,,Primary Transit,,,5644.0,0.97,0.157
Kepler-199 c,,,0.316,67.093408,,,,0.29,,Primary Transit,,,5644.0,0.97,0.157
Kepler-20 b,0.0305,,0.0463,3.69611525,0.03,,,0.1667,87.355,Primary Transit,0.912,8.8,5466.0,0.9440000000000001,0.02
Kepler-20 c,0.040119999999999996,,0.0949,10.85409089,0.16,,,0.2718,89.815,Primary Transit,0.912,8.8,5466.0,0.9440000000000001,0.02
Kepler-20 d,0.03168,,0.3506,77.61130017,0.6,,,0.2448,89.708,Primary Transit,0.912,8.8,5466.0,0.9440000000000001,0.02
Kepler-20 e,0.0097,,0.0639,6.09852281,,,,0.0772,87.632,Primary Transit,0.912,8.8,5466.0,0.9440000000000001,0.02
Kepler-20 f,0.045,,0.1396,19.57758478,,,,0.08947999999999999,88.788,Primary Transit,0.912,8.8,5466.0,0.9440000000000001,0.02
Kepler-20 g,0.0628,0.0628,0.2055,34.94,0.15,,,,,Other,0.912,8.8,5466.0,0.9440000000000001,0.02
Kepler-200 b,,,0.08,8.594805000000001,,,,0.19,,Primary Transit,,,5678.0,0.94,0.11800000000000001
Kepler-200 c,,,0.09,10.222157000000001,,,,0.142,,Primary Transit,,,5678.0,0.94,0.11800000000000001
Kepler-201 b,,,0.175,25.672082999999997,,,,0.21899999999999997,,Primary Transit,1.17,,6065.0,1.23,0.27899999999999997
Kepler-201 c,,,0.573,151.884058,,,,0.254,,Primary Transit,1.17,,6065.0,1.23,0.27899999999999997
Kepler-202 b,,,0.045,4.069426999999999,,,,0.145,,Primary Transit,,,4668.0,0.67,0.012
Kepler-202 c,,,0.113,16.282493,,,,0.165,,Primary Transit,,,4668.0,0.67,0.012
Kepler-203 b,,,0.043,3.162697,,,,0.22899999999999998,,Primary Transit,0.98,,5821.0,1.11,0.107
Kepler-203 c,,,0.061,5.370647,,,,0.22,,Primary Transit,0.98,,5821.0,1.11,0.107
Kepler-203 d,,,0.1,11.32972,,,,0.128,,Primary Transit,0.98,,5821.0,1.11,0.107
Kepler-204 b,,,0.11699999999999999,14.400974,,,,0.226,,Primary Transit,0.96,,5812.0,1.24,0.213
Kepler-204 c,,,0.17300000000000001,25.660593,,,,0.16,,Primary Transit,0.96,,5812.0,1.24,0.213
Kepler-205 b,,,0.032,2.75564,,,,0.135,,Primary Transit,,,4321.0,0.55,0.149
